,Text,Labels
0,"My expectations for McDonalds are t rarely high. But for one to still fail so spectacularly...that takes something special!\nThe cashier took my friends's order, then promptly ignored me. I had to force myself in front of a cashier who opened his register to wait on the person BEHIND me. I waited over five minutes for a gigantic order that included precisely one kid's meal. After watching two people who ordered after me be handed their food, I asked where mine was. The manager started yelling at the cashiers for \""serving off their orders\"" when they didn't have their food. But neither cashier was anywhere near those controls, and the manager was the one serving food to customers and clearing the boards.\nThe manager was rude when giving me my order. She didn't make sure that I had everything ON MY RECEIPT, and never even had the decency to apologize that I felt I was getting poor service.\nI've eaten at various McDonalds restaurants for over 30 years. I've worked at more than one location. I expect bad days, bad moods, and the occasional mistake. But I have yet to have a decent experience at this store. It will remain a place I avoid unless someone in my party needs to avoid illness from low blood sugar. Perhaps I should go back to the racially biased service of Steak n Shake instead!",0
1,"I've tried to give this McDonalds a chance but my patience has run out. The only reason why I came here as much as I did is because I like the $1 iced coffees. But it's not even worth it. This McDonalds is poo and so is most of the staff. \n\nWhenever I want to go through the drive-thru I can't because there is a line of cars wrapped half away around the building. And even when the line is shorter there's always a hold up of some sort. So most of the time I just park and go inside the restaurant. \n\nToday was a horrible day. I ordered an iced coffee (no cream or sugar) and a chocolate chip cookie. It only takes 30 seconds to fill a cup with coffee and 30 seconds to take a cookie out of the case. I waited 10 minutes!! Sorry but that's too long just to get a coffee and a cookie! It's not like I ordered a meal! During that time I saw people come in after me and get their milkshakes and iced coffees within two minutes! WTH?! I told the petite sleepy eyed cashier I wanted my money back! Her eyes opened wide in surprise, like I really woke her up or something. She said,\""Youre the one who ordered the iced coffee? I can get it for you!\"" For real? She was the one who took my order! I told her I waited too long and I just want my money back. The manager offered to make my iced coffee, but  I refused because I had just had enough.\n\nThere are *few* employees there who work hard but everyone else is dragging their feet. There is no organization or teamwork, everyone is scrabbling. It looks like none of them want to be there. I used to work in fast food and I know it sucks, but come on!\n\nI'm sorry but I can't recommend this Mcdonalds. It's poo. I'm not coming back here anymore. Guess I'll be going to Starbucks- and their iced coffees taste better anyway!",0
2,"This McDonald's is so bad it's amazing.  \n\nOrder:  Big mac, large fries, diet coke.\n\nThe soda machine was broken.   No sodas.\n\nThen I got to the window.  \""We rang you up for medium fries.\""   (Not what I asked for)  \""Well, if you want a large, you're gonna have to wait 4 minutes.  We just started a new batch.\""\n\nLeft with:  Big mac, medium fries, no coke.\n\nActually, now that I think about it, this was one of my better experiences there...",0
3,"We had the worst possible experience at the Eat N Park at Waterfront on 2/12/10 at around 10pm. Our waitress (Annemarie) was inattentive and got us the wrong order. We ended up with a dish we had not even ordered and still got charged for it on the check. \n\nOne of my friends ordered a Buffalo Chicken Sandwich, which according to the menu description, should've had lettuce and tomato in it. But the sandwich that arrived on our table had none of those ingredients. When pointed out to the waitress, she just brought some lettuce and tomatoes in a plate! How crude! \n\nSpoke to the manager after paying the full check and first of all, she did not even offer to re-imburse for the item we did not even order, and that had been forcibly thrust upon us. \n\nWhen I asked the manager about the Buffalo Chicken sandwich not having any lettuce and tomato, she said they just got new menus and that description is not correct and that Buffalo Chicken Sandwich is supposed to be without lettuce and tomato! What a lame excuse! Even your online menu says under the description for a Buffalo Chicken sandwich that its supposed to have both those ingredients - \""Served with lettuce and tomato on a fresh-baked Kaiser roll.\"" - That's what the last line in the description of Buffalo Chicken Sandwich says. Shame on you Manager for lying! Instead of admitting her fault, she was blaming it to a new menu!\n\nNot only did we have to pay for something that we didn't order or eat, but we got sub-standard food that was different from what was described in the menu, and had to deal with a really bad waitress and insensitive and deceitful manager to top off the whole experience. \n\nI am never going to come back to any Eat N Park location ever again, and will never recommend one to any of my friends either. What a waste of time and money! Plus dealing with callous and lying people - my goodness, I surely had my patience tested this evening!",0
4,"They burned my fish and they burned it bad.  Ordering fish at Eat'n Park is always a gamble.  I just never know how it's going to turn out.  I'm a risk taker so I ordered two pieces of baked lemon sole. \n\nWell it went terribly wrong.  My waiter came out and said, \""They burned your fish, so I had them put two new pieces in the oven.\""  I was impressed by his honesty and didn't mind waiting for two new pieces.  \n\n I gladly helped myself to my boyfriend's french toast while I waited. \n\nThen out of no where another server comes to the table with the burnt fish and sets it down infront of me. With the burnt side down of course.  That just shows the kitchen is not in total coordination.  \n\nLike I said getting fish from Eatn' Park is a toss up. In the end I got two nicely baked pieces of sole to replace the burnt ones, so I left satisfied.",2
5,"Some how even though the food at this Eat'n Park is down right abominable, the smiles and laughter is always there.  How can I stay mad when the prices or so cheep? Myself my boyfriend and his nephew had lunch with milkshakes and me having a coffee it was $31.00\n\nOn this particular occasion the fire alarm went off and rang and rang and rang loud and long for over 15 minutes before the fire department got there realized they didn't have key to turn it off and than another 10 minutes later finally shut it off...only at Eatn' Park.\n\nMy baked potato was hard as a rock, I had ordered two pieces of baked cod and only received one. \n\nThe waitress was very sweet and attentive and really attempted to build a rapport with our lil nephew which I thought was sweet.",1
6,Mmm...peppermint mocha\n\nIn my quest to visit every Starbucks in the USA I have stopped at yet another location.  This one is located in the center of a circle road -- very cache and in a newer part of the area.,2
7,"If there was ever a \""get your coffee and go\"" Starbucks, this is it. Right in the center of the Waterfront, this Starbucks has no sofa, comfy chairs, only table seating. I love the baristas here, But I don't like the location of the building.",1
8,"I just realized they remodeled this one recently-ish. Well, in my world recently because it's been a while since I've been here.\n\nThey've added more seating which makes it way more conducive to having a meeting here. Which is my concern during the week. I imagine during the weekend it just fills up with tweens getting their sugar rush before hitting the movie theater. \n\nThe coffee, or tea for me.. Is still same old same old. I don't imagine one single Starbucks will break the mold and make original drinks...",2
9,Great location!  Close to shops and theatre.  Nice staff.,4
